dataset,LITETime-1,LITETime-2,LITETime-3,LITETime-4,LITETime-5,LITETime-6,LITETime-7,LITETime-8,LITETime-9,LITETime-10
FreezerSmallTrain,0.942140350877193,0.945684210526315,0.947114035087719,0.947736006683375,0.948106377053746,0.9483776106934,0.948698830409357,0.949091617933723,0.949087719298245,0.949122807017544
Fungi,0.999462365591398,1,1,1,1,1,1,1,1,1
GunPoint,1,1,1,1,1,1,1,1,1,1
GunPointAgeSpan,0.992088607594937,0.990717299578059,0.990717299578059,0.99038577456299,0.990280289330922,0.990385774562989,0.990506329113924,0.990506329113924,0.990506329113924,0.990506329113924
GunPointMaleVersusFemale,0.991772151898734,0.992264416315049,0.992536919831224,0.992570825798674,0.992791842475387,0.993022905364678,0.993222573839663,0.993459915611814,0.99367088607595,0.993670886075949
GunPointOldVersusYoung,0.973015873015873,0.975661375661375,0.974761904761905,0.975691609977324,0.975497606449987,0.975540438397581,0.97537037037037,0.975167548500882,0.974920634920635,0.974603174603175
Ham,0.725714285714286,0.733968253968254,0.735634920634921,0.732517006802721,0.731254724111867,0.728616780045352,0.727539682539682,0.726772486772487,0.723809523809524,0.723809523809524
HandOutlines,0.936756756756757,0.948708708708709,0.951846846846847,0.954041184041184,0.95513728013728,0.956216216216216,0.956846846846847,0.957057057057057,0.957027027027027,0.956756756756757
Haptics,0.542207792207792,0.562987012987013,0.567830086580087,0.572108843537415,0.572665429808287,0.57269635126778,0.570968614718615,0.568326118326118,0.569805194805195,0.561688311688312
Herring,0.6859375,0.703125,0.702734375,0.711383928571429,0.709635416666667,0.715104166666667,0.715364583333333,0.718402777777778,0.7203125,0.71875
HouseTwenty,0.978991596638655,0.981325863678805,0.982633053221288,0.983113245298119,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924,0.983193277310924
InlineSkate,0.530181818181818,0.544686868686869,0.549530303030303,0.550761904761905,0.551479076479077,0.552701298701299,0.552484848484848,0.55389898989899,0.554909090909091,0.556363636363636
InsectEPGRegularTrain,0.997991967871486,0.998661311914324,0.998728246318608,0.998986421877988,0.999091604513291,0.999388028303691,0.999531459170013,0.999732262382865,1,1
InsectEPGSmallTrain,0.964658634538152,0.967692994199018,0.968239625167336,0.968406961178045,0.967520877159431,0.967221266016446,0.967001338688085,0.966711289602856,0.966265060240964,0.963855421686747
InsectWingbeatSound,0.615606060606061,0.630639730639731,0.635900673400673,0.638992303992304,0.64119568702902,0.643213083213083,0.644431818181818,0.646217732884399,0.646717171717172,0.645959595959596
ItalyPowerDemand,0.966861030126336,0.966569484936832,0.966310333657273,0.966078948586237,0.965866845604455,0.965815169605257,0.96573534175575,0.965619263578447,0.96530612244898,0.965986394557823
LargeKitchenAppliances,0.879733333333333,0.881955555555556,0.882177777777778,0.881498412698413,0.880285714285714,0.879187301587302,0.878222222222222,0.876681481481481,0.876,0.874666666666667
Lightning2,0.788524590163935,0.787613843351548,0.78620218579235,0.785480093676815,0.785779339058027,0.786651053864169,0.78551912568306,0.778870673952641,0.777049180327869,0.770491803278688
Lightning7,0.824657534246575,0.831354642313546,0.834931506849315,0.835420743639922,0.835507719069363,0.835551206784083,0.835844748858447,0.835616438356164,0.835616438356164,0.835616438356164
Mallat,0.947974413646056,0.957280265339967,0.95908315565032,0.95989034419738,0.960293769248993,0.960659965478729,0.961023454157783,0.961279317697228,0.96183368869936,0.963752665245202
Meat,0.913333333333333,0.919259259259259,0.921805555555556,0.923492063492064,0.925066137566138,0.926031746031746,0.926111111111111,0.926666666666666,0.926666666666666,0.933333333333333
MedicalImages,0.752763157894737,0.765526315789474,0.76952850877193,0.773364661654135,0.775652673350042,0.777230576441103,0.778848684210526,0.780701754385965,0.781052631578947,0.781578947368421
MiddlePhalanxOutlineAgeGroup,0.491558441558442,0.504040404040404,0.504274891774892,0.510482374768089,0.510332921047207,0.51156462585034,0.511742424242424,0.50981240981241,0.507142857142857,0.5
MiddlePhalanxOutlineCorrect,0.817525773195876,0.823825887743413,0.830297823596793,0.830355097365407,0.834696994490809,0.832826051382753,0.838373424971363,0.833982436044292,0.84020618556701,0.831615120274914
MiddlePhalanxTW,0.506493506493507,0.517171717171717,0.514069264069264,0.514100185528757,0.512420119562977,0.513203463203463,0.5125,0.512987012987013,0.512987012987013,0.519480519480519
MixedShapesRegularTrain,0.974886597938144,0.976843069873998,0.977680412371134,0.978548846342661,0.979001800032728,0.979314678448699,0.979563573883162,0.97973883161512,0.98,0.98020618556701
MixedShapesSmallTrain,0.936453608247423,0.939298969072165,0.940226804123711,0.941050564555719,0.941502209131075,0.941765341188022,0.941910652920962,0.942176403207331,0.942350515463918,0.943092783505155
MoteStrain,0.87332268370607,0.874920127795527,0.875725505857295,0.875821542674578,0.875836756427811,0.875779704853187,0.876071618743344,0.875896343627973,0.876277955271566,0.876198083067093
NonInvasiveFetalECGThorax1,0.951348600508906,0.957512015832627,0.959588634435963,0.961054162122864,0.961573569207157,0.962193141887798,0.962642069550466,0.963098671190274,0.963206106870229,0.964885496183206
