dataset,FCN,ResNet,Inception,InceptionTime,LITE,LITETime,ROCKET,MultiROCKET
FordB,0.779506172839506,0.813086419753086,0.848888888888889,0.860493827160494,0.844197530864198,0.853086419753086,0.80506173,0.838271604938272
FreezerRegularTrain,0.996561403508772,0.998456140350877,0.996210526315789,0.996491228070175,0.998035087719298,0.997894736842105,0.99761404,0.999649122807018
FreezerSmallTrain,0.697263157894737,0.832210526315789,0.855649122807017,0.856491228070175,0.953122807017544,0.961052631578947,0.94957895,0.995438596491228
Fungi,0.013978494623656,0.17741935483871,1,1,0.997849462365591,1,1,1
GestureMidAirD1,0.7,0.698461538461539,0.713846153846154,0.746153846153846,0.74,0.753846153846154,0.71692308,0.753846153846154
GestureMidAirD2,0.627692307692308,0.667692307692308,0.7,0.715384615384615,0.673846153846154,0.707692307692308,0.66076923,0.707692307692308
GestureMidAirD3,0.326153846153846,0.34,0.369230769230769,0.369230769230769,0.384615384615385,0.423076923076923,0.41461538,0.515384615384615
GesturePebbleZ1,0.87906976744186,0.901162790697674,0.923255813953488,0.924418604651163,0.911627906976744,0.918604651162791,0.90581395,0.918604651162791
GesturePebbleZ2,0.784810126582279,0.777215189873418,0.881012658227848,0.886075949367089,0.879746835443038,0.89873417721519,0.83037975,0.860759493670886
GunPoint,0.997333333333333,0.990666666666666,0.998666666666666,1,0.997333333333333,1,1,1
GunPointAgeSpan,0.991772151898734,0.996835443037975,0.988607594936709,0.987341772151899,0.991772151898734,0.990506329113924,0.99683544,1
GunPointMaleVersusFemale,0.99620253164557,0.992405063291139,0.994303797468354,0.993670886075949,0.990506329113924,0.990506329113924,0.99841772,1
GunPointOldVersusYoung,0.987936507936508,0.989206349206349,0.968888888888889,0.974603174603175,0.971428571428571,0.977777777777778,0.99111111,1
Ham,0.714285714285714,0.758095238095238,0.714285714285714,0.714285714285714,0.721904761904762,0.714285714285714,0.72571429,0.723809523809524
HandOutlines,0.811351351351351,0.913513513513513,0.945405405405406,0.956756756756757,0.937297297297297,0.954054054054054,0.94243243,0.951351351351351
Haptics,0.474025974025974,0.50974025974026,0.545454545454545,0.564935064935065,0.52987012987013,0.564935064935065,0.52402597,0.542207792207792
Herring,0.65,0.6,0.684375,0.6875,0.690625,0.765625,0.6921875,0.6875
HouseTwenty,0.981512605042017,0.983193277310924,0.979831932773109,0.983193277310924,0.981512605042017,0.983193277310924,0.96386555,0.991596638655462
InlineSkate,0.323272727272727,0.377090909090909,0.480727272727273,0.505454545454546,0.543272727272727,0.550909090909091,0.45690909,0.470909090909091
InsectEPGRegularTrain,0.998393574297189,0.997590361445783,0.996787148594377,0.995983935742972,0.995180722891566,0.995983935742972,1,1
InsectEPGSmallTrain,0.29718875502008,0.371887550200803,0.94136546184739,0.943775100401606,0.955020080321285,0.963855421686747,0.97911647,1
InsectWingbeatSound,0.392525252525252,0.499292929292929,0.629090909090909,0.631818181818182,0.61040404040404,0.633333333333333,0.65681818,0.672727272727273
ItalyPowerDemand,0.96268221574344,0.961516034985423,0.965986394557823,0.965014577259475,0.968513119533528,0.966958211856171,0.96958212,0.967930029154519
LargeKitchenAppliances,0.899733333333333,0.901333333333333,0.9008,0.898666666666667,0.8816,0.890666666666667,0.90053333,0.882666666666667
Lightning2,0.734426229508197,0.780327868852459,0.790163934426229,0.786885245901639,0.754098360655738,0.754098360655738,0.75901639,0.672131147540984
